Method,A_cos,A_cos_client,A_cos_server,D_dir_client_weighted,D_rel_client_weighted,G_drift,G_drift_client,G_drift_client_stepweighted,G_drift_norm,G_drift_norm_client,G_drift_norm_server,G_drift_server,G_drift_total,G_end,G_end_client,G_end_client_weighted,G_end_server,G_end_total,M_norm,M_norm_client,M_norm_server,accuracy,delta_client_norm_sq,delta_global_norm_sq,delta_server_norm_sq,expA_A_c_ratio,expA_A_c_rel,expA_B_c,expA_B_s,expA_C_c,expA_C_c_per_client_probe,expA_m2_c,expA_server_mag_per_step,expA_server_mag_per_step_sq,expA_u2_c,expA_var_c,n_valid_alignment
"GAS, GradShuf, bs=50",nan,,,2.6219853567904608e-06,2.656299345011281,5.4295270015190096e-06,5.4295270015190096e-06,9.347760416883456e-06,11.198848676084186,11.198848676084186,0.3828327428416562,3.158773528009096e-05,3.7017262281609966e-05,5.156078508472291e-06,5.156078508472291e-06,5.156078508472291e-06,8.913976476003003e-05,9.429584326850233e-05,0.0009633303599987168,,,0.5551,2.5340931516818313e-06,2.5340931516818313e-06,8.913976476003003e-05,0.44945621440397027,1.5900064789959225,0.4198520241478148,0.06338284131532362,0.6298491774472471,0.6298491782388105,1.1733639878624085e-05,0.0003602436640961743,3.4024424731129748e-06,5.288410343014349e-06,6.445229535609737e-06,
"MIX2SFL, Non-IID α=0.3, bs=50",-0.09982336286572083,,,0.00469844511893029,3.774641654809781,0.0009423000415475898,0.0009423000415475898,0.002651303701806391,0.8032294154818425,0.8032294154818425,0.7385742399256012,0.05268265334251766,0.05362495338406525,0.002183715166079775,0.002183715166079775,0.006368919873677631,0.07299223004451638,0.07517594521059615,0.05969175459969142,,,0.8207,0.0016704747547473411,0.0016704747547473411,0.07299223004451638,0.6921690789078578,3.774641925249192,1.0591175873358925,0.5832399136376064,1.0207714234863035,,0.0063689197693593425,0.001330297557325965,0.000362993897378124,0.0016704746469122255,0.0046984451224471166,10.42
"MULTISFL, Non-IID α=0.3, bs=50",,0.07253901657998493,-0.0031495126644494357,,,0.0005769397959196789,0.0005769397959196789,,14.154342576326654,14.154342576326654,9.7286349603168,0.025824055207113304,0.026400995003032984,0.0007179694412459008,0.0007179694412459008,,0.03163409863190477,0.03235206807315067,,0.012012727950088448,0.16585449777729808,0.6458,6.24641416118014e-05,6.24641416118014e-05,0.0029428259530969074,0.5227969971109466,1.3496183976411007,1.1014738900420098,0.5214386741532046,1.0920194174115079,1.0836507073576187,0.0006459934494861992,9.71316042233169e-05,5.3506554584728725e-06,0.0003605202330921505,0.0002854732163940488,
"SCAFFOLD_SFL, Non-IID α=0.3, bs=50",0.48250247087755366,,,0.031329632566031114,0.9955435589102255,0.014651618077226975,0.014651618077226975,0.035524808664983275,0.5071167409207337,0.5071167409207337,0.0,0.0,0.014651618077226975,0.033306535563055115,0.033306535563055115,0.09142640356848641,0.0,0.033306535563055115,0.24546718974174855,,,0.7293,0.0600967710024553,0.0600967710024553,0.0,0.4196499764938229,0.9955430487540466,,,,,0.0914264027406432,,,0.060096777492884335,0.03132962524775886,10.42
"SFL, Non-IID α=0.3, bs=50",-0.10544533115535676,,,0.007920895883134932,6.011658833213375,0.005295087979501009,0.005295087979501009,0.0071374640915158475,4.0426520013262435,4.0426520013262435,0.7144473164605397,0.02985226002408261,0.035147348003583614,0.006725063235703415,0.006725063235703415,0.009237808976662203,0.04855745351688886,0.05528251675259227,0.08979779575722663,,,0.7476,0.0013169130935272715,0.0013169130935272715,0.04855745351688886,0.8118848782886666,6.01165887437634,0.7827958865129884,0.5575458374480916,0.9398371749517568,,0.009237808894922596,0.0002999544827056083,7.70654070099011e-05,0.0013169130733270626,0.007920895821595534,10.42
"SFL, IID, bs=50",0.09169757747501273,,,0.00021479965792972595,10.628058702854691,0.00011605659433343087,0.00011605659433343087,0.00011605659433343087,5.158486792510058,5.158486792510058,0.41670500655091397,0.0032251830313580576,0.0033412396256914884,0.0002681052189375318,0.0002681052189375318,0.0002681052189375319,0.00812673555453884,0.008394840773476372,0.015336059148030556,,,0.8803,5.3305561007805924e-05,5.3305561007805924e-05,0.00812673555453884,0.8256876543427389,10.628113494153617,0.792214463381849,0.8143934688249327,0.8830829874162983,,0.0002681052187991662,0.00012933639184982876,1.3045698603010864e-05,5.330544643337968e-05,0.0002147997723657865,10.42
"USFL, Non-IID α=0.3, USFL, GradShuf, bs=500",0.21109243590132237,,,0.0034177719740039053,2.9644520232481946,0.0018260192964299048,0.0018260192964299048,0.0018343344978913633,1.5476655709274472,1.5476655709274472,0.3942802362087374,0.04585338569586625,0.04767940499229616,0.003481200571602186,0.003481200571602186,0.0047757636034951425,0.11285226701726443,0.11633346758886662,0.056239799992984583,,,0.7921,0.0013579916294912371,0.0013579916294912371,0.11285226701726443,0.680841063636079,2.9644518101611164,0.9166542897216943,0.7667873429286739,0.9571146383187029,,0.004775763548522829,0.004641513141114414,0.0015823041391224383,0.0013579916264781034,0.003417771922044726,10.42
