Method,A_cos,A_cos_client,A_cos_server,D_dir_client_weighted,D_rel_client_weighted,G_drift,G_drift_client,G_drift_client_stepweighted,G_drift_norm,G_drift_norm_client,G_drift_norm_server,G_drift_server,G_drift_total,G_end,G_end_client,G_end_client_weighted,G_end_server,G_end_total,M_norm,M_norm_client,M_norm_server,accuracy,collected,delta_client_norm_sq,delta_global_norm_sq,delta_server_norm_sq,expA_A_c_ratio,expA_A_c_rel,expA_B_c,expA_B_s,expA_C_c,expA_C_c_per_client_probe,expA_m2_c,expA_server_mag_per_step,expA_server_mag_per_step_sq,expA_u2_c,expA_var_c,fgn_r,mean_client_update_norm,mean_grad_f_main_norm,mean_server_update_norm,n_valid_alignment,p_r,requested,time_record,trials,v_value
"MIX2SFL, Non-IID α=0.3, bs=50",0.015316783992720056,,,0.004051781056908896,2.3120025837933436,0.0018838920295248414,0.0018838920295248414,0.003691419755991799,1.1971059619717872,1.1971059619717872,0.7991038638799945,0.07062009422600503,0.07250398625552987,0.0027652278264657087,0.0027652278264657087,0.006087096674773045,0.08713742216777683,0.08990264999424254,0.0693337522150904,,,0.3617,,0.0020353156178641494,0.0020353156178641494,0.08713742216777683,0.6687835048356082,2.3120026906675184,0.9115187687566599,0.9397632679091751,0.9454056810156483,,0.006087096751254822,0.0020479919415188315,0.0006045024770882754,0.00203531558698359,0.004051781164271232,,,,,10.0,,,,,
"SFL, Non-IID α=0.3, bs=50",-0.05042514360463781,,,0.016254713775799193,4.516599978458552,0.010764083282819787,0.010764083282819787,0.013956416584478482,4.098940911196019,4.098940911196019,0.7415995768615589,0.040699634181282675,0.05146371746410246,0.014388477039954554,0.014388477039954554,0.022504280367333186,0.07152645383581503,0.08591493087576958,0.12385105779933625,,,0.3239,,0.00624956659153399,0.00624956659153399,0.07152645383581503,0.791166487194571,4.516600107222023,1.0231053016229452,0.9817777976922635,1.0090111413428589,,0.022504280578055123,0.0004348395088420424,0.00012595246573353572,0.006249566430148359,0.016254714147906763,,,,,10.426666666666666,,,,,
"SFL, IID, bs=50",0.00353818275066143,,,0.006564082495153761,4.870125782267995,0.005355200005361312,0.005355200005361312,0.005355200005361313,3.5920611213250027,3.5920611213250027,0.5796427718404508,0.02106215948204675,0.026417359487408067,0.0072888218022703274,0.0072888218022703274,0.0072888218022703274,0.031181982890957888,0.038470804693228215,0.062842512685038,,,0.599,,0.0007247393071165664,0.0007247393071165664,0.031181982890957888,0.7926723430502144,4.870126030998499,0.9916103829157695,0.9866409184929338,0.9970831559497585,,0.00728882190360426,0.00025617902325452313,5.92766023175182e-05,0.0007247393036535262,0.006564082599950735,,,,,10.426666666666666,,,,,
"USFL, Non-IID α=0.3, USFL, GradShuf, bs=500",-0.003930438802621484,,,0.01753224998345185,4.809320148046663,0.011996111132735052,0.011996111132735052,0.012022908371937197,3.3094204280201125,3.3094204280201125,0.693136327487628,0.11962916918711057,0.13162528031984563,0.015234024739936987,0.015234024739936987,0.020415058867647367,0.17431466365178513,0.18954868839172212,0.1306025944898236,,,0.5335,,0.0028828088841955195,0.0028828088841955195,0.17431466365178513,0.8189168831808425,4.809320298136566,1.0008040527279194,0.9812165083220814,1.0002049321572235,,0.02041505903192799,0.007385170138643771,0.0031959419774237182,0.0028828088413623237,0.017532250190565667,,,,,10.426666666666666,,,,,
"GENERATIVE ACTIVATION-AIDED, GradShuf, bs=50",nan,,,0.001395399226252299,5.71276668021907,0.0017329180465780207,0.0017329180465780207,0.0019103151116715426,147.07833992342475,147.07833992342475,0.42840256713636166,0.0009035174951147578,0.0026364355416927786,0.0016992634635240127,0.0016992634635240127,0.0016992634635240127,0.0020947481044408162,0.0037940115679648287,0.025554549852323867,,,0.3757,,0.0003038642372717136,0.0003038642372717136,0.0020947481044408162,0.5500829741204174,2.4092516486838917,0.9761133112542368,0.9653811831622304,0.9877983935029213,0.9877983934730065,0.0032736823735556742,0.002160415558289917,8.633051269412746e-05,0.001364566612761185,0.0019091157607944891,,,,,,,,51.57596654228092,,187.60992423021517
"MULTISFL, Non-IID α=0.3, bs=50",,0.002511231459546791,-0.034022217141181935,,,0.021674274615313262,0.021674274615313262,,38.53821705822555,38.53821705822555,13.991583338186734,0.05380233877317477,0.07547661338848803,0.023383445580289652,0.023383445580289652,,0.06387048194253515,0.08725392752282479,,0.07415782624397738,0.24580603665858508,0.3665,234.26333333333332,0.0007428503086875327,0.0007428503086875327,0.0048970243118347705,0.7175583881091582,2.917808571297261,0.9843117294233709,0.9165720661735018,0.9977965390712233,0.9746962539219656,0.011824895928847714,0.0001532476886723934,1.0612297560916595e-05,0.0033198350258559607,0.008505060902991753,-0.21649256445152706,0.00884024858260422,0.03932399625177198,0.011632739338558127,,0.04873584825433619,246.47333333333333,,125.85333333333334,
